serial|name|visibility|birthday|gender|location|status|joined|job|language|blogTraffic|posts|myComments|userComments|photos|friends|following|followers|points|lastOnline
31|jessicaelizabethsmith|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
32|ZenofKen|Public|?|Male|?|In A Relationship|2012-06-11|Retired|Pidgin English|80672|839|16941|19099|1293|133|80|63|32018|46 minutes ago
33|greatmartin|Public|1936-02-29|Male|Fort Lauderdale|Single|2006-01-22|WRITER/WAITER/DIRECTOR OF OPERAT|English|879800|3543|62741|44558|11291|382|116|123|97140|4 hours ago
34|VickieCollins|Public|1953-11-30|Not Specified|Nashville|Single|2012-06-15|?|English|44002|310|13304|12425|1034|100|52|62|16201|2 hours ago
35|thedailygeeks|Public|?|Not Specified|Kingston|In A Relationship|2013-08-04|being awesome|English|380|18|1|2|2|6|2|1|396|31 days ago
36|ceilede|Public|?|Male|?|Married|2006-07-29|Spiritual Director|?|70858|859|3468|5278|134|154|3|36|16549|2 hours ago
37|bobbyboxtop|Public|?|Male|London|In A Relationship|2012-04-09|Author|English|56536|824|9195|11305|19|143|3|41|18973|2 hours ago
38|PeachiesPlace|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
39|pontogubb|Public|?|Male|?|Married|2012-02-11|retired|english|37449|468|589|1918|41|43|8|13|8576|2 days ago
40|robinsgroove|Public|?|Female|?|?|2013-07-07|?|English|3036|22|2126|2327|37|58|25|20|2471|9 hours ago
41|FIRESBREATH|Public|1958-03-05|Male|?|?|2013-02-18|?|?|21279|402|3395|5484|0|217|0|23|8986|57 minutes ago
42|skip1957|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
43|ANVRSADMAN|Public|?|Male|?|?|2013-02-05|?|English|2969|0|5420|3211|90|53|47|18|5939|15 days ago
44|Cassandron|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
45|Maria|Public|?|Female|Perth|Not Specified|2009-02-01|?|English|62605|616|22623|23914|2073|81|49|71|25626|4 days ago
46|moptop55|Public|1955-11-18|Female|?|Not Interested|2012-06-14|Office Assistant|?|31718|200|12179|12129|206|44|51|65|17238|4 hours ago
47|martyb2746|Public|1946-02-07|Female|Glide|Single|2012-02-10|?|English|45111|358|7444|10724|350|64|32|37|11114|23 days ago
48|rivergirl|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
49|writeawaythenothing|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
50|beyaself|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
51|dannidarkness|Public|1992-01-21|Female|?|In A Relationship|2013-07-01|?|english|1325|86|624|878|9|6|8|5|1908|44 days ago
52|CandraRae|Public|?|Female|?|?|2011-02-28|?|English|6947|641|566|1772|49|25|0|9|10982|2 days ago
53|vannitka|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
54|smfmystery|Public|?|Male|Charleston|Married|2012-06-10|Self Employed.|English|25885|94|10084|6407|867|70|3|29|6885|6 minutes ago
55|suzycue71|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
56|theyellowrose|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
57|artulovehandmade|Public|?|Not Specified|?|Married|2013-07-25|?|English|2491|31|289|445|50|263|3|13|869|2 hours ago
58|RoseinAz|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
59|okie|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
60|booboosoo|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
61|nikkis09|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
62|Irish-39|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
63|kwikathan|Public|1951-08-20|Female|?|Married|2011-12-15|?|English|57453|264|16835|12551|320|81|125|75|24714|20 hours ago
64|NotaLiberal-NotaDemograft-Ever|Public|?|Female|?|Not Specified|2009-02-09|?|?|148218|1118|48325|30159|56|226|94|97|60224|3 hours ago
65|CharlieAdams|Public|1956-04-07|Male|?|Married|2009-07-30|?|English|126340|316|17253|11623|260|258|70|59|15657|14 hours ago
66|Neo|Public|?|Male|?|Single|2008-07-22|?|?|188572|277|15776|11593|106|156|41|55|18162|2 hours ago
67|ILoveCats|Public|?|Female|?|Married|2009-01-31|?|English|120124|618|23076|16690|1105|98|20|78|34674|19 days ago
68|weirdcatlady|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
69|robburton|Public|1955-11-23|Male|chico|not-interested|2006-07-12|education|?|117125|59|32565|742|119|119|1458|423|47260|2 hours ago
70|Mustang-Sally|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
71|bigfatdaddy|Public|1947-01-24|Male|colorado springs|Married|2009-10-08|?|english|92729|552|10755|9723|30|108|27|49|21068|16 hours ago
72|bbuddy71|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
73|MoreOfPamelasThoughts|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
74|ellie1142545|Public|1945-11-25|Female|?|Married|2013-06-05|Retired|English|3751|110|2640|668|3|28|27|10|6182|2 hours ago
75|1-little-whip|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
76|christyne|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
77|Hershey-OTR|Public|?|Not Specified|?|Other|2009-01-31|?|English|59533|36|21492|15949|271|99|38|75|16097|8 hours ago
78|diabloe76|Public|1943-02-10|Male|?|?|2012-10-19|?|Canadian English|8265|109|1738|966|198|11|6|6|4776|7 minutes ago
79|butaflynote|Public|?|Female|?|?|2012-11-17|?|English and Afrikaans|5617|33|2338|1659|254|59|0|19|2889|6 days ago
80|viccles2004|Public|?|Female|Cornfield|?|2012-04-05|?|English|5368|57|4258|1867|99|40|63|29|7565|5 hours ago
81|aingheal|Public|1987-09-10|Male|?|?|2012-08-01|?|Gaelic, Japanese, English|877|7|17|159|1|6|0|1|269|57 days ago
82|wendidawn|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
83|IamCraigMurray|Public|1969-03-13|Male|?|?|2013-06-02|?|English|166|1|147|4|1|2|1|1|345|51 days ago
84|KKTheGardener|Public|1957-07-10|Female|?|Married|2012-04-09|?|English, Spanish|27932|32|17030|16616|610|86|56|60|15413|22 hours ago
85|mmmhollywould|Public|1916-09-22|Female|Atlanta|Not Specified|2005-07-11|Phone Sex Operator|Fuckalicious|436194|899|22488|21500|813|696|194|111|28680|4 hours ago
86|dixiegirl|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
87|Diabloe76|Public|1943-02-10|Male|?|?|2012-10-19|?|Canadian English|8265|109|1738|966|198|11|6|6|4776|7 minutes ago
88|ayesart|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
89|brandink1969yahoocom|Public|?|Female|?|Single|2013-08-25|?|?|144|1|4|4|1|3|0|1|137|113 days ago
90|DonnaGhostBear|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
91|mewoldmanontheblock|Public|1930-06-04|Male|Somewhere In|Not Interested|2006-09-11|Transportation|?|38171|462|2518|2220|0|113|1|20|9079|17 hours ago
92|dphilip|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
93|chieftaz|Public|1943-12-23|Male|?|Married|2012-06-11|?|English|16570|910|561|2501|223|38|33|17|14827|4 hours ago
94|fatoldguy|Public|1937-07-28|Male|?|Married|2009-02-13|Professor|?|16263|197|3251|1604|1|25|0|29|9699|4 hours ago
95|mamakat|Public|1951-07-21|Female|Brooksville|Married|2007-06-10|?|?|185326|410|48121|18811|958|613|108|180|58145|5 hours ago
96|drstrangeloveCa|Public|2000-01-01|Male|?|?|2012-08-09|?|English|372|3|7|21|10|8|0|3|215|97 days ago
97|iggyigette|Public|?|Not Specified|?|?|2012-06-13|?|?|745|5|175|41|2|14|11|10|509|127 days ago
98|Janetmbsh|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
99|JadaRiver|Public|1966-11-01|Not Specified|?|Married|2013-07-25|?|?|285|0|233|48|0|19|2|3|473|76 days ago
100|Joy--Bee|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
101|kentuckyweaver|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
102|MrRightwing|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
103|kathyinozarks|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
104|justafarmboy|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
105|lilpinklace66|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
106|justacitygirl|Public|1958-11-24|Female|?|?|2012-06-13|?|?|9628|90|3063|2454|126|62|16|23|4482|21 days ago
107|jeffyraccoon|Public|1965-01-01|Male|Valdosta|Single|2012-04-08|Clerk|?|27647|196|236|935|226|130|0|16|3494|7 days ago
108|nonniof5|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
109|lorieh49|Public|1962-09-12|Female|?|Married|2012-06-19|?|English|1364|5|40|49|2|17|1|4|228|258 days ago
110|nanabgammon|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
111|reconstructingmyworld|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
112|not3bad13|Public|1968-01-20|Not Specified|?|?|2012-08-16|?|?|202|2|16|30|0|11|0|5|166|428 days ago
113|BenTennyson|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
114|randombyte|Public|?|Not Specified|in a city|Married|2013-06-08|CEO|?|1884|58|1313|589|45|21|20|9|2524|18 hours ago
115|old-charlie|Public|?|Not Specified|?|?|2013-11-16|?|?|786|12|172|434|6|51|1|23|340|23 hours ago
116|longryder|Public|?|Male|Santa Rosa|Single|2012-06-20|?|English|1434|18|91|158|15|10|0|3|1324|252 days ago
117|Margar3t|Public|1960-04-18|Female|?|Married|2008-06-02|?|?|328369|1894|31148|40465|3252|143|8|86|51850|2 days ago
118|musicjunky1967|Public|?|Male|Beech Grove|In A Relationship|2012-10-18|?|?|3728|16|204|433|3|74|11|11|415|12 days ago
119|rica|Public|1971-07-05|Female|San Juan|Single|2009-01-15|Project Manager|English, Filipino|341436|733|14895|22368|915|343|60|165|21550|2 days ago
120|robinsplace|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
121|simone425|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
122|seanymph|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
123|seraphim17|Public|?|Male|Shanghai, China|?|2013-09-04|cample|Chinese|88|3|3|4|4|5|0|0|156|70 days ago
124|TheOpenSky|Public|1996-04-02|Female|?|?|2013-05-19|?|English|304|3|11|32|3|6|5|1|162|100 days ago
125|StopHatingOnMe173|Public|?|Female|Bronx|?|2013-04-09|?|English|83|4|3|14|0|22|17|0|174|186 days ago
126|rusty-armor|Public|?|Male|?|?|2012-07-07|?|?|21069|54|5060|3288|46|63|32|31|8386|26 minutes ago
127|skipper12383|Public|?|Male|?|?|2012-06-18|Retired|English|24128|84|520|709|221|78|10|22|2229|7 days ago
128|timewounds|Public|1958-10-30|Not Specified|?|?|2012-09-22|?|?|124|1|4|19|0|3|0|1|122|357 days ago
129|theredhead|Public|?|Female|?|divorced|2013-03-31|Pharmacy Tech|?|1513|32|446|301|6|30|44|3|1141|5 days ago
130|TissyAnn|Public|1959-02-12|Female|?|Complicated|2012-10-11|?|Texan|414|4|20|56|3|16|0|4|180|390 days ago
131|Stuffedducky|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
132|Tissyanne|Public|1959-02-12|Female|Houston|Single|2012-06-14|?|English|18050|6|400|602|27|37|0|13|713|20 days ago
133|AmalaTsering|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
134|youmakemyday|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
135|akanightfall|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
136|UncleBen|Public|1901-11-10|Not Specified|?|?|2012-10-13|?|?|414|5|15|57|12|12|0|5|222|3 days ago
137|becameabutterfly|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
138|beejaywells|Public|1949-06-02|Male|Halle-Booienhoven|In A Relationship|2013-09-17|?|English|306|7|25|53|28|4|0|3|231|48 days ago
139|akaoptimis|Public|1963-07-11|Male|?|Not Specified|2013-10-15|Senior Executive Mngr.|English|815|16|301|363|1|18|1|8|621|4 days ago
140|tyrannyvigilant|Public|1972-01-20|Not Specified|?|?|2012-08-07|?|?|3397|47|198|168|0|24|9|9|1107|18 days ago
141|80hanginginthere|Public|1925-08-16|Female|?|Not Specified|2006-07-13|?|?|47563|9|4595|3450|2|52|30|21|3456|5 hours ago
142|usnretired91|Public|1940-05-26|Male|Ocean Springs|Not Specified|2012-08-07|?|English|102|0|5|0|12|14|0|5|142|260 days ago
143|augiedoggy|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
144|TLHughesBoehm|Public|?|Female|?|Married|2012-06-07|Accountant|English|10719|49|615|596|26|67|63|21|1694|174 days ago
145|brycecoddnormal|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
146|alex-whitley|Public|?|Male|Houma|?|2008-06-09|?|Spanish, English|43676|151|1399|1925|1568|83|13|18|4100|7 hours ago
147|DoubleDAZ1947|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
148|bobbythebluesman|Public|1958-03-22|Male|?|?|2013-12-02|?|?|628|13|229|217|8|13|0|8|489|2 days ago
149|BrianinCA|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
150|epistling|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
151|eaglehawk|Public|1953-01-24|Male|?|Married|2012-07-05|Database Administrator|English|6482|124|905|934|80|32|0|9|3026|5 days ago
152|Jayyyohhh|Public|?|Male|?|?|2013-05-15|?|?|2652|38|1594|702|24|23|0|7|2883|58 minutes ago
153|MarkH717|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
154|kevinshere|Public|1937-07-09|Not Specified|?|?|2013-08-17|?|?|153|10|67|56|5|6|1|4|334|19 hours ago
155|katskorner|Public|1954-01-17|Female|?|?|2012-06-12|?|English|12807|25|4165|1880|1|44|61|18|6502|2 hours ago
156|janeygodley|Public|1961-01-20|Female|London|Married|2005-07-06|Entertainment|?|65483|1049|15|509|109|73|0|10|16216|6 days ago
157|scottster|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
158|Unc-Charlie|Public|?|Male|?|Married|2012-06-02|?|Southern Dixie|60873|291|4863|11275|550|315|23|90|6812|8 days ago
159|MoonDoggie|Public|?|Male|?|Single|2012-05-10|gainfully employed|English|9021|5|1932|2199|20|21|32|16|2889|19 hours ago
160|MamaCharlie|Public|?|Female|?|?|2009-11-03|?|english|4898|23|126|193|2|19|3|8|683|18 hours ago
161|nemo4sun|Public|1961-06-29|Male|?|?|2012-04-13|?|?|40916|355|16056|13052|379|53|7|34|15516|40 days ago
162|meditationbyeric|Public|1978-06-02|Male|Little Neck|Not Specified|2010-05-25|Certifitied Meditation Teacher|English U.S.A|51465|132|242|1670|24|55|14|8|2762|24 hours ago
163|zendude1|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
164|southern-comfort|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
165|nobullthinker|Public|1948-04-05|Male|Chicagoland|Not Interested|2006-03-26|?|?|80925|510|7356|7151|34|136|3|40|13254|1 day ago
166|BarbaraG|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
167|bladudsblog|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
168|aspenglow|Public|?|Female|?|Married|2012-08-07|?|?|2369|21|329|341|43|45|27|19|917|261 days ago
169|Windancer|Public|?|Female|Perth|Single|2009-04-21|?|English|57768|212|6249|7151|1019|88|0|34|7769|8 days ago
170|Caireann|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
171|skinnyguy|Public|?|Male|?|?|2011-03-16|?|English|53564|247|9517|8294|524|51|58|49|15266|3 days ago
172|dreamsgirl|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
173|sister2cats|Public|1950-12-28|Female|?|?|2012-03-01|?|?|1213|6|163|21|8|5|4|4|591|4 days ago
174|sweetbrowneyedgirl|Public|?|Female|?|Married|2012-06-11|Assistant Principal|English, mostly|2207|161|1042|1352|12|35|6|16|3377|39 minutes ago
175|deckhand|Public|?|Male|bristol bay|?|2012-06-11|commercial (sockeye) salmon fish|?|1743|18|91|107|33|11|4|7|551|15 days ago
176|thepowerman187|Public|1979-11-13|Male|?|?|2013-07-05|CEO|?|1577|45|209|428|15|26|33|5|1050|15 hours ago
177|esoterika713|Public|1961-01-27|Female|Toronto|Married|2012-06-08|?|English|7423|39|703|783|333|28|0|13|1233|145 days ago
178|cinabearcinnamon|Public|1968-10-22|Not Specified|?|?|2012-04-23|?|?|4075|121|2649|1702|373|54|53|19|5736|37 days ago
179|chovhani|Public|1962-03-27|Female|?|Married|2012-04-09|?|English and French|33761|1|3788|5345|58|72|46|40|2832|320 days ago
180|winning|Public|1949-12-06|Male|Riverdale|Not Interested|2006-02-21|Retired|?|129711|476|4632|10346|67|117|7|47|10716|6 hours ago
181|JJWild01|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
182|jenadamo|Public|?|Female|?|?|2012-04-15|Massage Therapist|English|1101|6|60|102|12|16|3|7|262|76 days ago
183|jamintoo|Public|?|Not Specified|?|?|2012-08-30|?|?|18|0|3|0|1|4|4|2|108|367 days ago
184|hipppydude|Public|?|Male|?|In A Relationship|2012-08-26|?|ENGLISH|22|0|0|0|2|1|1|1|106|423 days ago
185|kityhawk99|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
186|mythicalmagpie|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
187|mysticaldragons|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
188|johnthebarman|Public|1945-03-29|Male|?|?|2013-09-02|?|English|4|0|3|0|2|1|0|0|106|130 days ago
189|martyb007|Public|1946-02-07|Female|?|?|2013-11-17|?|English|311|9|104|183|6|23|16|7|297|8 days ago
190|exop2012|Public|?|Male|?|?|2012-08-14|?|?|667|2|165|36|2|8|0|4|599|3 days ago
191|kathycustren|Public|?|Female|?|?|2012-08-08|Independent Advocate|?|106|0|82|0|0|20|2|7|286|284 days ago
192|meditativeheartroddyg|Public|?|Male|Prescott Valley|?|2012-06-09|?|English|3185|29|1063|343|4|42|10|10|2963|15 days ago
193|madisonpooface|Public|?|Female|?|?|2012-02-19|Massage Therapist|english|7973|150|4043|1944|153|41|6|22|8199|1 day ago
194|openroad2012|Public|?|Male|?|?|2012-06-14|?|English and French|7167|110|328|580|38|31|0|7|2296|173 days ago
195|mightymite1957|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
196|legacycowgirl|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
197|Zissou85|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
198|shalonda39|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
199|Redheadedgirl|Public|?|Female|Wehr|?|2012-06-13|?|ENGLISH.GERMAN|15343|84|205|595|61|24|0|9|1858|66 days ago
200|unclesanta|Public|1955-01-01|Male|Alexandria|?|2013-07-10|?|?|135|2|22|27|0|9|0|1|158|174 days ago
201|rabbitfriendhere|Public|1961-01-27|Female|?|?|2012-06-08|?|English|22340|124|4222|3570|71|60|62|24|5304|149 days ago
202|stolenfeather|Public|1971-11-11|Female|?|?|2012-06-13|?|?|3465|7|1071|1190|38|38|33|18|1394|332 days ago
203|hovanator|Public|1981-10-31|Male|?|Other|2012-09-04|Engineer I|?|6280|114|1180|1087|1|12|0|10|3264|2 days ago
204|udontsay|Public|?|Male|South Pasadena|?|2011-08-30|TV Producer-Writer|English|33682|612|191|1380|705|19|0|9|10098|2 hours ago
205|ActionTime|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
206|billcockrell|Public|1967-07-29|Male|?|Married|2013-09-29|?|English|267|8|18|23|2|5|0|1|250|60 days ago
207|airforcesgt76|Public|1957-08-05|Male|Dundalk|?|2012-06-10|?|Enlish|27038|331|376|1084|153|22|7|8|5679|39 days ago
208|CherokeIrish|Public|1948-02-26|Female|Jacksonville|Married|2012-02-06|Artist|English|10966|157|523|670|44|32|5|6|3370|58 days ago
209|arkansasmama|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
210|Driftr12006|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
211|ChihulahuaLover|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
212|CountryBelleChic|Public|?|Female|?|?|2012-12-21|?|?|5368|90|76|201|51|3|0|1|1646|116 days ago
213|EileenWilcox|Public|1958-12-02|Female|?|?|2012-06-20|?|English|817|8|15|31|7|6|2|4|259|406 days ago
214|ibaker12|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
215|Geneva02|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
216|Destiny70|Public|?|Female|?|Married|2013-01-22|?|English|10038|126|2569|1803|240|35|0|10|5062|12 days ago
217|damienwindsor|Public|?|Male|Cadillac|?|2013-07-06|?|?|213|6|114|60|2|9|0|3|356|121 days ago
218|Claudia-Blogs|Public|?|Female|?|?|2013-10-28|?|?|589|7|105|167|0|24|0|3|312|2 days ago
219|gardenhealth|Public|?|Not Specified|?|?|2011-03-24|?|English, Croatian|3919|17|5|34|17|7|0|2|378|814 days ago
220|flash005|Public|?|Female|West Palm Beach|?|2013-07-06|?|?|2843|20|1272|729|161|24|0|10|2284|7 hours ago
221|EnglandsMoon|Public|?|Female|?|Married|2012-07-19|?|?|481|10|11|8|0|6|0|1|267|454 days ago
222|drDrjojo|Public|?|Not Specified|?|Married|2008-07-23|?|ENGLISH|139723|393|16778|21381|24|135|3|35|16924|27 minutes ago
223|Gladiator2013|Public|?|Male|SomeWhere|Married|2012-06-15|Worker|?|19152|138|3350|2866|50|50|23|20|6872|2 hours ago
224|Eaglewriter3|Public|?|Male|?|?|2010-09-20|?|?|26850|146|1338|1510|163|68|9|25|4240|18 days ago
225|jamesnews|Public|1947-07-27|Male|Charlotte|?|2005-12-05|?|?|274882|1805|3833|5366|95|86|0|11|30261|160 days ago
226|littlewhip|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
227|Italian-Stallion|Public|1991-02-06|Male|?|In A Relationship|2008-04-24|?|?|18974|71|990|1323|29|134|1|19|1966|19 days ago
228|MissRiete|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
229|jimnastics|Public|?|Male|?|?|2012-03-11|?|English &amp; a tiny bit of Spanish|8493|76|230|564|35|15|0|7|1485|243 days ago
230|justramblingaround|Public|?|Not Specified|?|?|2012-09-17|?|Southern Style|2181|13|717|209|1|19|2|8|1563|6 hours ago
231|mountainbiker65|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
232|johnnyknox|Public|1979-11-17|Male|London|?|2013-06-08|?|English|580|6|126|88|12|23|1|8|401|32 days ago
233|longlostfriend|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
234|maggiesnextphase|Public|?|Not Specified|?|Married|2012-09-16|?|?|27654|407|7414|7812|441|51|34|27|13807|18 hours ago
235|maxnix|Public|1954-06-21|Male|Maldon|Married|2005-12-14|Automotive|English/someGerman|50978|485|541|672|23|28|0|6|8156|10 days ago
236|NatashaRaatz|Public|1998-05-09|Female|?|?|2013-09-09|?|english|2563|67|607|693|199|21|6|5|1577|8 hours ago
